Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsFlipDelay,MsAllInputToPhotonLatency,MsClickToPhotonLatency
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,1304.9832,NA,17.00910000000000,NA,0.14240000000000,0.00000000000000,NA,1288.1181,17.0075,16.8651,0.1424,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,1321.2974,NA,16.31420000000000,NA,0.14940000000000,0.00000000000000,NA,1305.1256,16.3212,16.1718,0.1494,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,1338.0002,NA,16.70280000000000,NA,0.15660000000000,0.00000000000000,NA,1321.4468,16.7100,16.5534,0.1566,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,1354.6216,NA,16.62140000000000,NA,0.15180000000000,0.00000000000000,NA,1338.1568,16.6166,16.4648,0.1518,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,1371.4189,NA,16.79730000000000,NA,0.17470000000000,0.00000000000000,NA,1354.7734,16.8202,16.6455,0.1747,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,1387.9557,NA,16.53680000000000,NA,0.15380000000000,0.00000000000000,NA,1371.5936,16.5159,16.3621,0.1538,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,1404.6653,NA,16.70960000000000,NA,0.16240000000000,0.00000000000000,NA,1388.1095,16.7182,16.5558,0.1624,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,1421.2828,NA,16.61750000000000,NA,0.11990000000000,0.00000000000000,NA,1404.8277,16.5750,16.4551,0.1199,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,1438.2334,NA,16.95060000000000,NA,0.14180000000000,0.00000000000000,NA,1421.4027,16.9725,16.8307,0.1418,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,1454.6258,NA,16.39240000000000,NA,0.14870000000000,0.00000000000000,NA,1438.3752,16.3993,16.2506,0.1487,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,1471.3251,NA,16.69930000000000,NA,0.15990000000000,0.00000000000000,NA,1454.7745,16.7105,16.5506,0.1599,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,1487.9572,NA,16.63210000000000,NA,0.13830000000000,0.00000000000000,NA,1471.4850,16.6105,16.4722,0.1383,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,1504.9535,NA,16.99630000000000,NA,0.16060000000000,0.00000000000000,NA,1488.0955,17.0186,16.8580,0.1606,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,1521.3043,NA,16.35080000000000,NA,0.15260000000000,0.00000000000000,NA,1505.1141,16.3428,16.1902,0.1526,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,1538.0369,NA,16.73260000000000,NA,0.27590000000000,0.00000000000000,NA,1521.4569,16.8559,16.5800,0.2759,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,1554.6292,NA,16.59230000000000,NA,0.18050000000000,0.00000000000000,NA,1538.3128,16.4969,16.3164,0.1805,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,1571.4315,NA,16.80230000000000,NA,0.36920000000000,0.00000000000000,NA,1554.8097,16.9910,16.6218,0.3692,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,1587.9309,NA,16.49940000000000,NA,0.11720000000000,0.00000000000000,NA,1571.8007,16.2474,16.1302,0.1172,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,1604.6688,NA,16.73790000000000,NA,0.15870000000000,0.00000000000000,NA,1588.0481,16.7794,16.6207,0.1587,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,1621.3848,NA,16.71600000000000,NA,0.17900000000000,0.00000000000000,NA,1604.8275,16.7363,16.5573,0.1790,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,1638.0393,NA,16.65450000000000,NA,0.17080000000000,0.00000000000000,NA,1621.5638,16.6463,16.4755,0.1708,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
eden.exe,16836,0x24F60141020,DXGI,1,0,0,Composed: Flip,1654.6090,NA,16.56970000000000,NA,0.15940000000000,0.00000000000000,NA,1638.2101,16.5583,16.3989,0.1594,0.0000,0.0000,0.0000,0.0000,NA,NA,NA,NA,NA
